AAPL,GOOG,TSLA,XRP,SOL,DOGE,ETH,BIT,ADA,CRO,LTC,UNI,BNB
,,,0.2539387,2.15659813,0.00271064,453.55478553,15479.56703842,0.10662103,0.07477048,61.05504665,2.84861707,28.3051156
116.32,1763.0,421.26,0.25074766,2.02865216,0.00266953,444.16305707,15332.31559743,0.10532534,0.07029722,59.36388331,2.67686302,28.01802089
115.97,1740.39,410.36,0.25391118,2.247987,0.00275341,449.67962112,15290.90268148,0.10580529,0.06984349,58.23734357,3.00754392,28.1933417
119.49,1752.71,417.13,0.25625941,2.0021245,0.00276896,462.96052774,15701.33973237,0.10596494,0.07066611,59.51502792,2.91237512,27.95617778
119.21,1749.84,411.76,0.25490322,1.89913759,0.00277901,461.00527114,16276.34394919,0.10452506,0.07205461,60.36537784,2.93014159,27.61480668
119.26,1777.02,408.5,0.2651905,2.02079216,0.00282145,474.62642092,16317.80819009,0.10639074,0.07041889,65.45720007,3.8796593,28.18217212
,,,0.26834244,1.91701557,0.002773,460.14983674,16068.13870685,0.10420159,0.06764896,63.77414998,3.80910701,27.93620058
,,,0.26964156,2.04323394,0.00277541,447.55909533,15955.58743887,0.10053113,0.06395296,62.27992055,3.86200742,27.62103009
120.3,1781.38,408.09,0.28552034,2.25535545,0.00288579,459.94031258,16716.11132377,0.10400779,0.06469113,71.32624469,3.6040116,28.06410953
119.39,1770.15,441.61,0.3024083,2.20218147,0.00293588,480.36008258,17645.40576746,0.10960014,0.06436381,75.85234021,3.80348089,28.5305809
118.03,1746.78,486.64,0.29422167,2.11502872,0.00290902,479.48406975,17804.00563217,0.10640261,0.06582489,73.69493456,3.46366504,28.07616291
118.64,1763.92,499.27,0.30376565,2.07676865,0.00291104,471.63041968,17817.09024754,0.10586606,0.06673213,81.68366667,3.7330601,28.09410417
117.34,1742.19,489.61,0.32806824,2.09539164,0.00298434,509.74457334,18621.31436938,0.1182257,0.07698757,82.583154,3.84091406,28.89199739
,,,0.45834416,2.38220531,0.00350659,549.48662086,18642.23276593,0.13294498,0.07278006,86.41011587,3.81223005,30.3912909
,,,0.44370043,2.14484477,0.0033293,558.06809523,18370.00252365,0.14476017,0.07094396,82.70420982,3.65905312,29.92507133
113.85,1734.86,521.85,0.6139796,2.27637688,0.00364797,608.45402857,18364.12159134,0.15350993,0.07224472,89.03931421,4.18887791,30.96536947
115.17,1768.88,555.38,0.69210316,2.26796698,0.00420366,603.89774601,19107.46444977,0.16632261,0.08111599,89.20537318,4.06707338,33.80315145
116.03,1771.43,574.0,0.63548327,2.27003407,0.00372672,570.68661621,18732.1207774,0.15516213,0.07825506,81.88012987,3.68375432,31.34296007
,,,0.53301892,1.90303693,0.00324982,518.80117389,17150.62357809,0.13828125,0.06370475,70.86572109,3.43149857,28.20491606
116.59,1793.19,585.76,0.55926763,1.85794881,0.00327521,517.49368769,17108.40172774,0.14102816,0.06425499,69.12387404,3.31672524,28.47518678
,,,0.62562208,1.88893452,0.00340487,538.22980058,17717.4150112,0.16479091,0.06520899,72.69296617,3.46967137,29.14391133
,,,0.60624629,1.9151547,0.00344778,575.75804789,18177.48341979,0.16663903,0.06617921,79.23506852,3.55205527,30.11760417
119.05,1760.74,567.6,0.6643373,1.96689116,0.00355089,614.84252202,19625.83502949,0.17130821,0.07023793,87.57463257,3.76907441,31.39278584
122.72,1798.1,584.76,0.61292341,1.97630826,0.0033347,587.32418713,18802.99829969,0.15598286,0.06557685,85.43576677,3.55541263,30.10830281
123.08,1827.95,568.82,0.62989304,2.11540134,0.00337436,598.35234223,19201.09115697,0.15855732,0.06677152,88.85651249,3.93694029,30.29736127
122.94,1826.77,593.38,0.63148285,2.10037052,0.00342761,616.70875486,19445.39847988,0.16421198,0.06628898,89.09896529,3.89198201,30.70443037
122.25,1827.99,599.04,0.55726194,1.85595318,0.00329811,569.35419749,18699.76561337,0.14824113,0.06290657,80.01707227,3.52813216,29.07220783
,,,0.58442082,1.9787738,0.00339687,596.59547474,19154.231131,0.15966784,0.06421959,83.11872986,3.68167397,29.72948849
,,,0.61985104,1.85424895,0.0033884,601.90899244,19345.12095871,0.15886675,0.06380282,83.55533607,3.6531076,29.54080394
123.75,1819.48,641.76,0.60893445,1.83117262,0.00334233,591.84337934,19191.63128698,0.15413038,0.06418363,83.62405876,3.7645407,29.37813565
124.38,1818.55,649.88,0.55883618,1.66535169,0.00317934,554.82775708,18321.14491611,0.14092839,0.06042585,76.7486542,3.28498568,27.6363057
121.78,1784.13,604.48,0.58358953,1.6623035,0.00315811,573.47911163,18553.91537685,0.14816498,0.06038615,77.41098045,3.35541723,28.1293041
123.24,1775.33,627.07,0.57295396,1.57415052,0.0031046,559.67850106,18264.99210672,0.1419943,0.05918139,74.82955647,3.24360991,27.69619012
122.41,1781.77,609.99,0.54648324,1.44458505,0.0030788,545.79734103,18058.90334725,0.13944898,0.05857354,72.08733437,2.97210942,27.36100351
,,,0.50640055,1.4909121,0.00316309,568.56731778,18803.65687045,0.1444598,0.0593884,76.70689387,3.12253386,28.16445065
,,,0.51146366,1.56545586,0.00325587,589.6632225,19142.3825335,0.1539642,0.06057862,82.00063841,3.33782159,29.10169187
121.78,1760.06,639.83,0.49771204,1.5916455,0.00323079,586.01115197,19246.64434137,0.15799236,0.06073782,82.36316054,3.48526339,30.02957848
127.88,1767.77,633.25,0.46971013,1.76067126,0.00320577,589.35560245,19417.07603342,0.15430501,0.06164546,81.40067395,3.33150942,29.54728368
127.81,1763.0,622.77,0.56862765,1.78359783,0.00341629,636.18184867,21310.59813054,0.1675889,0.0648734,92.78968506,3.52855053,30.49019426
128.7,1747.9,655.9,0.57667682,1.67863414,0.0037298,642.86896702,22805.16149213,0.16348263,0.06645466,100.95957532,3.69151096,30.1841335
126.66,1731.01,695.0,0.58428027,1.69879993,0.00385822,654.81192689,23137.96056165,0.16498817,0.06479469,109.3845096,3.76731462,30.93835975
,,,0.57916277,1.66865052,0.00392675,659.29792646,23869.83196434,0.16471358,0.06594018,120.5589091,3.96389255,33.2963554
,,,0.55605754,1.56357617,0.00462466,638.29084637,23477.29519711,0.16198846,0.0660512,114.66599272,3.76568859,34.16029635
128.23,1739.37,649.86,0.5169435,1.5419152,0.00478746,609.81787165,22803.0814087,0.15265616,0.05938767,105.00539486,3.52324575,32.26952771
131.88,1723.5,640.34,0.44844794,1.49028596,0.00450782,634.85419947,23783.02850288,0.15617921,0.06093395,113.6803674,3.73061416,33.48294761
130.96,1732.38,645.98,0.25860161,1.20569231,0.00376766,583.71459689,23241.34486501,0.13639415,0.05543779,101.81706223,3.31396994,31.09789872
131.97,1738.85,661.77,0.33781854,1.3624084,0.00457046,611.60718693,23735.94972763,0.15288347,0.05799089,111.56539901,3.52143239,32.50059333
,,,0.31809054,1.44540315,0.00458201,626.41070163,24664.79027412,0.15756379,0.0580128,126.98359867,3.50369878,33.16497423
,,,0.29471348,1.3242381,0.00449367,635.83583086,26437.0375091,0.15782374,0.05922363,129.45920297,3.40696394,33.4771392
,,,0.28303931,1.30304194,0.00454771,682.6423591,26272.29456706,0.15442203,0.05687263,127.51696969,3.59463998,33.51184727
136.69,1776.09,663.69,0.24795823,1.5156849,0.00459177,730.39736483,27084.80788628,0.17673459,0.05930218,130.05033199,3.72836028,35.8445565
134.87,1758.72,665.99,0.22096201,1.67434488,0.00448647,731.52011874,27362.4365573,0.19216412,0.05803683,129.04079724,3.6708054,38.95283333
133.72,1739.52,694.78,0.2118282,1.53545722,0.00463551,751.61897194,28840.95341968,0.18403984,0.05892902,129.46607253,4.14055831,38.13629984
132.69,1751.88,705.67,0.21984557,1.51089796,0.00468225,737.80339769,29001.71982218,0.18139706,0.05852504,124.69032593,5.16833732,37.37603315
,,,0.23744438,1.84208404,0.00568496,730.36756913,29374.15188907,0.17534993,0.05958685,126.23034575,4.7362491,37.90501081
,,,0.22165492,1.79927479,0.01061451,774.53496804,32127.26793922,0.1774225,0.06181843,136.94489094,4.84521386,38.24159295
